Species_1	Start_2	End_2	Species_2	Start_1	End_1	fill	type
4	21559587	23156975	6	2481185	935621	cccccc	3
11	277101	1316459	5	63248149	58396824	cccccc	3
1	10044523	11306764	5	58789309	55625414	cccccc	3
18	12997586	14210222	5	56205067	58791872	cccccc	3
6	15076740	16325979	5	19943663	17879164	cccccc	3
16	1141631	2766627	4	71445259	73698974	cccccc	3
8	2001530	4487006	4	5221471	7609902	cccccc	3
5	5808030	6914642	4	18935134	11115392	cccccc	3
14	6917617	8755737	4	19088722	13928868	cccccc	3
2	7484356	12696794	4	71511797	72925238	cccccc	3
15	9763285	11697913	4	68132515	70779242	cccccc	3
6	11148009	13645240	4	7275363	3600361	cccccc	3
6	11609041	13016430	4	5671666	6692876	cccccc	3
15	11699160	14816827	4	67154246	61213380	cccccc	3
8	11715394	12876708	4	2200874	290112	cccccc	3
16	12003368	14350934	4	61753118	59252144	cccccc	3
10	12546011	13876220	4	3135413	475892	cccccc	3
16	13978509	16227081	4	57722462	52692759	cccccc	3
2	17222146	18594852	4	75075620	76205102	cccccc	3
13	20299051	21534198	4	6690222	3600361	cccccc	3
19	20606618	21967349	4	6381003	3600361	cccccc	3
19	85815	1086930	3	77599628	79849644	cccccc	3
17	88282	1164212	3	3633026	11024229	cccccc	3
19	719037	2327321	3	86823884	91314972	cccccc	3
10	1467066	3259640	3	91111528	85569656	cccccc	3
12	2365772	3963774	3	86753026	91143204	cccccc	3
10	4494287	6193470	3	73799735	76265461	cccccc	3
7	6833062	9037166	3	67720675	72071221	cccccc	3
5	9466860	11049625	3	70515911	72127377	cccccc	3
14	9683660	10866444	3	63141165	64324624	cccccc	3
10	10644348	12562113	3	25958604	23629065	cccccc	3
17	11783933	12811693	3	32323453	27915685	cccccc	3
10	12006749	13128460	3	9540796	6734965	cccccc	3
16	19171528	21010493	3	93038770	95117291	cccccc	3
14	24364742	25641296	3	782496	7526645	cccccc	3
3	682969	1727927	2	77092309	81912303	cccccc	3
18	1792259	2914715	2	16482331	19381702	cccccc	3
13	3340692	4404929	2	93906800	97236979	cccccc	3
18	3913676	5949276	2	4096132	10924460	cccccc	3
6	4828457	5910944	2	82902279	88332865	cccccc	3
6	6103856	7352026	2	94193440	99311492	cccccc	3
10	10910793	12562113	2	99468733	97535222	cccccc	3
1	10987353	14044487	2	3102997	44080	cccccc	3
1	11821587	14984188	2	16833314	15376547	cccccc	3
10	12841595	14778160	2	27975782	29119926	cccccc	3
10	14458409	18022309	2	29243667	24072532	cccccc	3
8	14979472	16337870	2	93036878	97898294	cccccc	3
3	16377478	17820344	2	7162472	8339597	cccccc	3
16	19278042	20828694	2	95267449	93334736	cccccc	3
12	20546006	22461088	2	22647943	18365764	cccccc	3
4	22259262	23453956	2	15068249	17839485	cccccc	3
14	22377895	23821929	2	97299880	96033346	cccccc	3
6	1538773	2808373	1	91285578	95681546	cccccc	3
11	3381792	4954528	1	67689752	75286468	cccccc	3
9	4814481	6975840	1	69506847	76015710	cccccc	3
10	7091825	9742616	1	19333526	24516133	cccccc	3
13	22063957	23402389	1	95843870	92195256	cccccc	3
7	679765	1881756	6	7365421	7531534	e41a1c	1
7	679765	2752867	13	501561	766473	e41a1c	1
7	679765	3012501	8	7406703	8222490	e41a1c	1
7	2049369	2942034	14	29350547	34369929	e41a1c	2
7	2075095	1538540	10	28985737	30815217	e41a1c	2
13	531939	834472	14	28866243	35278211	e41a1c	3
8	7427221	8894821	14	28632063	34805893	e41a1c	3
6	7567597	7690342	14	32050301	34913801	e41a1c	3
13	501561	876423	10	30496700	27874100	e41a1c	3
6	7171014	7815454	10	31408837	27660041	e41a1c	3
8	5773528	9346871	10	31408837	26585934	e41a1c	3
