Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
12	6741587	6749545	17	5641490	5648475	cccccc
18	5686660	5694618	11	1922308	1942843	cccccc
4	1220262	1228213	10	383076	390427	cccccc
13	2720985	2728930	14	6866959	6812625	cccccc
3	15352262	15360202	2	760320	758266	cccccc
5	3958258	3966196	14	8321747	8305650	cccccc
5	3958258	3966196	7	463561	479334	cccccc
13	4650648	4658580	8	2473144	2449002	cccccc
2	8517988	8525919	18	6943998	6935807	cccccc
19	1568338	1576265	14	8848697	8872086	cccccc
5	1964103	1972026	14	2046442	2035213	cccccc
1	8203266	8211188	2	2876754	2882840	cccccc
11	15775964	15783885	19	5626455	5563131	cccccc
16	4536008	4543926	8	4073228	4059309	cccccc
2	9923075	9930991	18	10184638	10176548	cccccc
3	9946334	9954232	11	427858	442383	cccccc
3	9946334	9954232	9	414338	425305	cccccc
12	1343372	1351269	2	1428118	1444378	cccccc
13	1517948	1525840	14	3030685	3053625	cccccc
18	14813266	14821148	11	5536140	5526446	cccccc
2	12598766	12606642	2	863509	867713	cccccc
1	10969442	10977302	2	8943086	8975937	cccccc
13	4544542	4552398	6	274855	264744	cccccc
18	4623659	4631497	4	1515466	1524316	cccccc
1	10079939	10087774	16	11912172	11897892	cccccc
16	1612038	1619869	8	11613354	11627834	cccccc
15	15136426	15144252	2	2876754	2882840	cccccc
9	12799741	12807559	18	614215	618895	cccccc
9	12799741	12807559	3	2881422	2876197	cccccc
2	1869556	1877373	18	11475015	11429270	cccccc
2	1869556	1877373	3	276143	261427	cccccc
3	16632073	16639889	1	1009549	1002569	cccccc
11	4498803	4506618	12	4458590	4466475	cccccc
11	4498803	4506618	19	2820615	2829989	cccccc
13	1220359	1228170	14	2046442	2035213	cccccc
9	11170549	11178358	3	2224945	2213140	cccccc
11	253680	261484	10	1025133	1013317	cccccc
18	2941787	2949589	4	3517692	3536284	cccccc
19	9665095	9672877	13	72635	65026	cccccc
15	996167	1003930	2	1428118	1444378	cccccc
3	12047742	12055504	2	7708999	7644208	cccccc
14	10286667	10294423	7	2266297	2276577	cccccc
1	14349196	14356950	9	1202983	1194883	cccccc
1	11639488	11647231	2	7297060	7304428	cccccc
13	5874004	5881741	15	1080238	1072163	cccccc
1	7439163	7446899	2	1090707	1067273	cccccc
7	1777822	1785557	18	10804023	10809741	cccccc
1	8957012	8964739	2	4190643	4176914	cccccc
9	8105113	8112840	3	7558981	7537597	cccccc
3	5038745	5046470	9	1916027	1903401	cccccc
2	6928121	6935845	18	4398813	4391879	cccccc
3	14305401	14313125	2	4082730	4093062	cccccc
16	4649951	4657674	8	4385775	4370241	cccccc
3	14764479	14772200	2	3027288	3044272	cccccc
18	11189125	11196840	11	2800657	2787458	cccccc
19	517670	525383	19	641698	639171	cccccc
2	3893217	3900929	12	1154061	1168146	cccccc
1	9307222	9314920	2	4641564	4638283	cccccc
13	3321530	3329228	14	10271962	10279050	cccccc
3	3072816	3080513	19	846312	864165	cccccc
2	16249443	16257132	7	3478722	3471087	cccccc
18	226784	234473	4	2272173	2280748	cccccc
1	13405653	13413341	1	1070361	1063463	cccccc
18	5819079	5826767	4	706230	700692	cccccc
11	4951500	4959186	10	1411231	1407272	cccccc
9	11133117	11140799	18	1491529	1477309	cccccc
9	11133117	11140799	3	2162023	2141490	cccccc
17	12700675	12708351	1	2505074	2495311	cccccc
15	14701720	14709391	2	3867232	3857081	cccccc
1	16472423	16480092	9	3707642	3700771	cccccc
18	663814	671477	4	8831866	8851182	cccccc
3	9283902	9291562	9	1202983	1194883	cccccc
3	12278558	12286215	2	8582220	8574428	cccccc
2	21367	29017	18	70324	92437	cccccc
2	21367	29017	3	3213915	3205743	cccccc
9	9806651	9814300	3	5790763	5797894	cccccc
14	12469252	12476901	12	6351809	6341971	cccccc
1	13171164	13178809	2	5325864	5297318	cccccc
9	10154195	10161824	18	11475015	11429270	cccccc
9	10154195	10161824	3	276143	261427	cccccc
1	14389957	14397577	9	1250269	1263734	cccccc
11	16056930	16064549	19	6246855	6252380	cccccc
11	7390863	7398465	10	3730930	3738385	cccccc
15	10382317	10389919	17	9964088	9949638	cccccc
2	557720	565316	18	913154	908791	cccccc
2	557720	565316	3	2668403	2673028	cccccc
1	13900575	13908168	9	579102	563559	cccccc
18	10972532	10980124	11	3031472	3022124	cccccc
3	8143672	8151263	4	3540647	3545598	cccccc
3	8143672	8151263	9	4163071	4167747	cccccc
14	3318496	3326077	18	10184638	10176548	cccccc
15	4073326	4080904	17	2913564	2945356	cccccc
5	3223812	3231387	14	4833159	4829884	cccccc
5	3223812	3231387	5	5255988	5259119	cccccc
18	8703536	8711104	11	1775089	1782871	cccccc
3	7419026	7426587	9	3584004	3600588	cccccc
16	14430513	14438073	8	254582	237223	cccccc
7	5032797	5040342	3	6754398	6718592	cccccc
2	567202	574736	18	922112	914534	cccccc
19	2145435	2152955	14	10271962	10279050	cccccc
15	7870785	7878302	1	463238	459188	cccccc
14	1708919	1716434	18	7799326	7812505	cccccc
14	1708919	1716434	3	6999512	6998808	cccccc
18	13884707	13892220	11	6707937	6732970	cccccc
2	15312170	15319674	14	693708	696257	cccccc
2	15312170	15319674	7	4297037	4282787	cccccc
14	9349076	9356575	7	3963906	3956717	cccccc
1	10187282	10194775	16	9970380	10031673	cccccc
1	14009482	14016958	11	742938	735424	cccccc
1	14009482	14016958	9	707702	698401	cccccc
13	4642726	4650199	8	2012382	2020210	cccccc
2	10362494	10369955	15	11181159	11185013	cccccc
11	2871437	2878890	19	4330680	4333770	cccccc
1	8666925	8674371	2	3614388	3594087	cccccc
2	3435054	3442499	7	1230121	1223757	cccccc
9	9409753	9417188	3	5120632	5115416	cccccc
15	5323762	5331196	17	4166093	4174318	cccccc
5	2536528	2543954	14	2981439	2988522	cccccc
18	2380067	2387492	4	4566088	4574965	cccccc
15	11756074	11763496	17	859341	851469	cccccc
1	10827463	10834884	2	10418028	10430565	cccccc
9	2925385	2932806	6	10952852	10962677	cccccc
11	725926	733345	10	477275	487579	cccccc
12	15201063	15208480	2	3867232	3857081	cccccc
1	10905666	10913079	2	9152411	9138182	cccccc
9	4577225	4584635	6	6125384	6117176	cccccc
18	8217570	8224979	11	1160519	1159231	cccccc
18	8217570	8224979	9	1323356	1317725	cccccc
1	9172230	9179633	2	4494896	4500109	cccccc
16	12427802	12435205	8	7943841	7956600	cccccc
14	3203007	3210407	18	10008491	9961228	cccccc
18	3265707	3273105	4	3016695	2998630	cccccc
3	12457259	12464649	2	10033229	10045076	cccccc
2	8852766	8860152	18	7557101	7553938	cccccc
1	8821172	8828556	2	3982830	4016121	cccccc
1	8340149	8347531	2	3027288	3044272	cccccc
18	1336956	1344331	4	6815127	6843942	cccccc
15	12261927	12269293	17	275610	267072	cccccc
11	2043274	2050637	10	328295	318130	cccccc
3	6011277	6018638	9	2436629	2440507	cccccc
2	9339356	9346712	18	8601607	8604684	cccccc
2	9339356	9346712	3	3770643	3782237	cccccc
14	12300609	12307958	12	6189833	6199273	cccccc
2	5460467	5467809	18	2293908	2291990	cccccc
15	10104879	10112214	17	9610278	9603536	cccccc
11	7777852	7785186	10	4806676	4786396	cccccc
4	4075786	4083119	10	1882608	1940913	cccccc
4	4075786	4083119	19	1979405	1953800	cccccc
5	9401365	9408695	18	10882084	10890995	cccccc
1	8731789	8739112	2	3852963	3856475	cccccc
19	13269413	13276732	12	6779162	6788959	cccccc
7	14947095	14954410	12	3919933	3931465	cccccc
19	15619338	15626652	6	8856971	8849074	cccccc
19	15619338	15626652	8	10767344	10751655	cccccc
2	14443393	14450703	7	4749886	4745380	cccccc
13	985877	993184	14	1838888	1854827	cccccc
13	985877	993184	7	3159973	3146789	cccccc
18	14860142	14867448	11	5338362	5365214	cccccc
7	14016703	14024005	12	7238657	7245397	cccccc
3	7190444	7197744	9	3164043	3157378	cccccc
4	14214341	14221640	1	11239025	11234702	cccccc
11	14679600	14686898	19	3110547	3131158	cccccc
2	5439441	5446736	18	2306657	2322747	cccccc
9	8277162	8284449	18	7763469	7749907	cccccc
9	8277162	8284449	3	7082071	7097828	cccccc
5	3889144	3896426	14	7745904	7688483	cccccc
12	15642792	15650068	2	2876754	2882840	cccccc
13	42941	50214	14	179372	173867	cccccc
11	4404861	4412131	10	1278819	1287810	cccccc
11	14658904	14666174	19	3091229	3077197	cccccc
14	10020843	10028107	7	2926660	2921888	cccccc
12	12708201	12715464	17	707292	696682	cccccc
15	4970293	4977552	17	5178349	5186521	cccccc
12	12962413	12969671	17	257710	250000	cccccc
9	8465827	8473080	3	6589424	6571801	cccccc
15	11926759	11934008	17	707292	696682	cccccc
11	16023061	16030304	19	6225061	6230859	cccccc
18	1568492	1575731	4	5305332	5339420	cccccc
1	1371517	1378754	6	2284197	2291872	cccccc
13	5901887	5909114	15	1547532	1560149	cccccc
11	7674902	7682115	10	4570936	4544044	cccccc
14	13495499	13502709	12	9805218	9811634	cccccc
3	5124889	5132097	11	1775089	1782871	cccccc
3	5124889	5132097	9	1969266	1960834	cccccc
5	14604743	14611947	18	5891131	5873361	cccccc
1	15425814	15433015	9	4464848	4472831	cccccc
12	14126265	14133464	1	1631027	1623550	cccccc
13	2663760	2670957	14	6774508	6781464	cccccc
2	7602844	7610037	18	5634591	5643502	cccccc
18	2723505	2730697	4	3632304	3637487	cccccc
18	2723505	2730697	9	4908637	4901267	cccccc
5	3680322	3687513	14	6728661	6753975	cccccc
12	4264234	4271420	17	1993484	1971810	cccccc
2	14814182	14821367	7	5033495	5035278	cccccc
4	5337388	5344573	10	3697861	3713226	cccccc
18	14717070	14724255	11	5843910	5869231	cccccc
18	14717070	14724255	4	5239403	5245845	cccccc
4	3206283	3213465	10	1278819	1287810	cccccc
1	10869854	10877023	2	10033229	10045076	cccccc
4	11189306	11196471	1	515760	520675	cccccc
1	14515480	14522641	9	1353098	1370191	cccccc
12	9566879	9574040	17	6076143	6081310	cccccc
13	450207	457366	14	708096	700321	cccccc
15	9979362	9986512	17	9281763	9297277	cccccc
3	11675224	11682372	2	7078684	7060204	cccccc
18	1823359	1830506	4	5890296	5929924	cccccc
15	8461189	8468334	17	7067496	7068399	cccccc
9	7092375	7099513	6	7499157	7510233	cccccc
5	15660426	15667563	18	5634591	5643502	cccccc
1	10856518	10863652	2	10191824	10201073	cccccc
9	8828600	8835734	3	3603237	3594469	cccccc
7	2508449	2515581	18	10074284	10068627	cccccc
2	1831033	1838158	18	11528060	11538881	cccccc
13	15059124	15066245	12	6779162	6788959	cccccc
2	4049970	4057087	10	4660592	4669336	cccccc
15	9599631	9606748	17	8732839	8739268	cccccc
5	10391252	10398367	18	10074284	10068627	cccccc
9	1874220	1881329	6	3269899	3275141	cccccc
14	12129691	12136800	10	502885	497003	cccccc
14	12129691	12136800	12	5966000	5969337	cccccc
2	2906900	2914008	7	78587	88566	cccccc
5	2505349	2512454	14	3030685	3053625	cccccc
5	2505349	2512454	7	1694388	1706392	cccccc
15	6999849	7006950	17	3805437	3799371	cccccc
4	1360945	1368045	10	328295	318130	cccccc
13	1348832	1355919	14	3439860	3424345	cccccc
2	2557986	2565072	7	5920690	5931219	cccccc
15	12366195	12373281	17	192125	199642	cccccc
18	12669848	12676925	11	10997339	11004684	cccccc
9	2169931	2177006	6	3727895	3720399	cccccc
11	10507794	10514869	19	7760454	7766999	cccccc
4	5611204	5618271	16	204066	188728	cccccc
15	10249493	10256555	1	7814307	7823307	cccccc
15	12294702	12301764	17	257710	250000	cccccc
4	15089916	15096977	10	5461501	5456973	cccccc
15	3926409	3933468	17	2544905	2556529	cccccc
3	3062484	3069540	19	669185	677944	cccccc
12	4818692	4825743	17	2724794	2742734	cccccc
9	7641339	7648384	3	10922238	10932668	cccccc
2	2175961	2183004	18	10882084	10890995	cccccc
18	1787641	1794684	4	5817278	5849181	cccccc
4	5453558	5460598	10	5887653	5907499	cccccc
4	16848770	16855808	3	4513315	4502406	cccccc
3	12407258	12414287	2	9136997	9124646	cccccc
14	10393598	10400622	7	2032011	2025999	cccccc
14	2122649	2129664	18	8465252	8469074	cccccc
18	13340738	13347744	11	7838175	7845358	cccccc
18	13340738	13347744	4	6569931	6576637	cccccc
4	351925	358930	10	402421	411748	cccccc
13	16012715	16019719	6	8856971	8849074	cccccc
13	16012715	16019719	8	10767344	10751655	cccccc
7	4801366	4808367	18	8020699	8002639	cccccc
11	10673168	10680168	19	7673858	7671668	cccccc
1	13737964	13744951	9	430173	440051	cccccc
19	8843844	8850827	13	1445333	1430249	cccccc
19	8843844	8850827	8	10549941	10538033	cccccc
1	6864641	6871620	2	1947974	1953785	cccccc
14	15189710	15196683	18	10425574	10404285	cccccc
11	9081956	9088925	10	5887653	5907499	cccccc
14	9836957	9843923	7	3277951	3267297	cccccc
12	9321074	9328039	17	6396683	6408410	cccccc
3	3792300	3799264	9	8856331	8843749	cccccc
13	1236963	1243927	14	2050912	2053655	cccccc
4	3616470	3623432	10	1419287	1428194	cccccc
5	2116587	2123549	14	3439860	3424345	cccccc
5	2116587	2123549	5	3280619	3299522	cccccc
14	1636638	1643600	18	7708526	7693275	cccccc
17	1092345	1099307	10	1391740	1397473	cccccc
17	1092345	1099307	12	4105274	4097838	cccccc
11	11318303	11325262	19	8444756	8454663	cccccc
2	7717081	7724039	18	5760947	5751824	cccccc
9	9291180	9298134	3	4513315	4502406	cccccc
9	11377244	11384195	3	2338229	2334630	cccccc
12	5969529	5976480	17	4791463	4785036	cccccc
14	6459063	6466011	2	3292872	3284195	cccccc
5	3689981	3696927	14	6774508	6781464	cccccc
2	286634	293574	18	551046	545163	cccccc
3	12415450	12422390	2	9152411	9138182	cccccc
18	4017910	4024850	11	2699336	2694989	cccccc
18	4017910	4024850	4	2771829	2766507	cccccc
3	11746111	11753044	2	6834534	6818538	cccccc
2	5426803	5433725	18	2336971	2345023	cccccc
9	2046636	2053547	6	3899061	3889058	cccccc
11	2189014	2195925	10	195087	190359	cccccc
11	3867296	3874204	12	6779162	6788959	cccccc
15	3637096	3644004	17	2288304	2297728	cccccc
14	9155274	9162179	14	693708	696257	cccccc
14	9155274	9162179	7	4297037	4282787	cccccc
15	11369646	11376549	17	1370394	1380573	cccccc
16	14286390	14293288	6	9099736	9118776	cccccc
16	14286390	14293288	8	683491	670105	cccccc
19	9058931	9065829	13	1651810	1660629	cccccc
3	9645753	9652645	11	742938	735424	cccccc
3	9645753	9652645	9	707702	698401	cccccc
13	15786659	15793551	6	8679714	8673777	cccccc
3	9754337	9761228	9	547428	552274	cccccc
15	11801215	11808106	17	901496	895127	cccccc
9	5788996	5795886	6	2545810	2530410	cccccc
9	2219135	2226024	6	3636025	3629087	cccccc
1	9467976	9474864	2	4781701	4768239	cccccc
12	9347701	9354581	1	11028943	11033468	cccccc
12	9347701	9354581	17	6368788	6379065	cccccc
15	4096035	4102910	1	3915641	3909357	cccccc
15	4096035	4102910	17	2947724	3002175	cccccc
12	5744924	5751795	17	3489185	3511867	cccccc
16	4883946	4890817	8	5765246	5772473	cccccc
14	12117636	12124506	12	5931092	5935262	cccccc
14	12117636	12124506	19	7015129	7044859	cccccc
9	9737769	9744638	3	5675594	5685586	cccccc
14	12152863	12159727	12	5989606	5982133	cccccc
14	12152863	12159727	19	7087746	7076144	cccccc
1	8087954	8094816	2	263588	254358	cccccc
9	4804616	4811454	6	6649425	6656495	cccccc
2	14848534	14855369	5	2573626	2565487	cccccc
2	14848534	14855369	7	4637002	4628690	cccccc
17	12929914	12936745	1	3092651	3084529	cccccc
2	7050445	7057275	18	4503241	4494914	cccccc
14	8900047	8906875	5	2653927	2650232	cccccc
17	1056180	1063007	12	4209322	4186578	cccccc
17	12690617	12697443	1	2468754	2475113	cccccc
17	10620655	10627473	1	774384	770275	cccccc
17	10620655	10627473	17	7339197	7342035	cccccc
5	16961306	16968119	18	4475029	4466930	cccccc
4	5288375	5295176	10	3662166	3682329	cccccc
3	16791050	16797848	1	949722	957621	cccccc
11	6057309	6064104	10	2596657	2584702	cccccc
13	757653	764448	14	1324795	1316916	cccccc
13	1400873	1407668	14	3233879	3221376	cccccc
15	13574575	13581369	1	1631027	1623550	cccccc
2	7033268	7040061	18	4475029	4466930	cccccc
13	4740234	4747020	8	2589230	2551451	cccccc
9	7335843	7342627	6	7815454	7804601	cccccc
9	7335843	7342627	8	9238371	9230232	cccccc
12	12073322	12080104	17	1370394	1380573	cccccc
15	4681722	4688503	17	3489185	3511867	cccccc
3	15784836	15791616	2	1428118	1444378	cccccc
14	9524518	9531298	7	3695873	3687560	cccccc
15	8741265	8748044	17	6396683	6408410	cccccc
17	11151885	11158664	1	421584	428372	cccccc
17	11151885	11158664	17	5737662	5753340	cccccc
1	9730782	9737559	2	4935004	4923983	cccccc
14	12192571	12199344	10	414897	422165	cccccc
14	12192571	12199344	12	6054569	6048652	cccccc
9	10114863	10121633	3	78495	93933	cccccc
1	11897853	11904621	2	6448197	6442672	cccccc
16	12748670	12755436	6	7766752	7771747	cccccc
16	12748670	12755436	8	9061039	9067184	cccccc
17	12717469	12724234	1	2508304	2516714	cccccc
14	2798031	2804787	18	9306605	9312723	cccccc
3	4917499	4924249	9	1881395	1879280	cccccc
11	797676	804426	10	402421	411748	cccccc
12	13144073	13150823	17	141548	116955	cccccc
18	4025028	4031772	4	2757193	2765033	cccccc
4	3580659	3587399	10	1365764	1357963	cccccc
18	13929190	13935927	11	6573516	6575848	cccccc
14	12245471	12252203	12	6111085	6105323	cccccc
12	10592775	10599499	17	9281763	9297277	cccccc
18	10218735	10225459	11	3539907	3549969	cccccc
9	7894767	7901489	3	8660792	8679292	cccccc
18	13159395	13166114	11	8312921	8303686	cccccc
18	13159395	13166114	4	6777086	6768903	cccccc
3	14466775	14473493	2	3631707	3639546	cccccc
3	14999404	15006117	2	263588	254358	cccccc
7	15041827	15048540	12	4209322	4186578	cccccc
18	10845756	10852468	11	3154492	3161924	cccccc
1	1208630	1215340	6	2106871	2082239	cccccc
14	8805321	8812029	7	4944640	4938479	cccccc
2	215270	221975	18	447979	470243	cccccc
5	8144175	8150878	3	2162023	2141490	cccccc
4	371221	377923	10	435843	449669	cccccc
4	371221	377923	12	6007069	5995106	cccccc
9	2662464	2669160	6	10159255	10173398	cccccc
11	13572366	13579061	19	1470391	1476844	cccccc
18	10090930	10097622	11	3478593	3483749	cccccc
9	5797541	5804231	6	2506452	2493763	cccccc
18	3592178	3598864	11	2829939	2825909	cccccc
2	2308267	2314951	5	8391515	8397155	cccccc
2	2308267	2314951	7	6632088	6640189	cccccc
9	4589176	4595858	6	6129459	6137393	cccccc
18	7727500	7734182	11	742938	735424	cccccc
16	6380599	6387280	6	4786707	4780273	cccccc
4	16363258	16369934	3	3835366	3833048	cccccc
14	9968813	9975485	7	2997723	3006446	cccccc
19	13207431	13214099	12	6692995	6696785	cccccc
4	5085595	5092257	10	3169764	3189706	cccccc
12	12477111	12483769	17	859341	851469	cccccc
9	11110419	11117075	18	1554498	1550790	cccccc
9	11110419	11117075	3	2060881	2065849	cccccc
14	9479979	9486632	7	3826590	3828197	cccccc
18	6075120	6081769	4	401432	407672	cccccc
1	11681966	11688608	2	6834534	6818538	cccccc
18	1082837	1089479	4	7599402	7641472	cccccc
3	9109406	9116036	9	1353098	1370191	cccccc
1	8073694	8080319	2	264751	273924	cccccc
1	14660102	14666724	9	5894965	5900074	cccccc
9	5073704	5080323	13	247988	257139	cccccc
9	5073704	5080323	6	7107663	7113138	cccccc
7	1699352	1705969	18	10882084	10890995	cccccc
14	13939435	13946046	12	10215250	10236523	cccccc
18	11468919	11475530	11	2508765	2515905	cccccc
15	3532552	3539157	1	4848184	4845220	cccccc
15	3532552	3539157	17	2183684	2193198	cccccc
1	12342259	12348852	2	5652307	5659950	cccccc
4	9246722	9253313	1	2242232	2246905	cccccc
18	13149836	13156422	11	8350326	8368081	cccccc
4	2775003	2781587	12	6779162	6788959	cccccc
14	9241930	9248514	7	4077588	4073142	cccccc
16	11251615	11258190	6	6639198	6648495	cccccc
1	12538706	12545279	15	11665356	11651287	cccccc
1	14505227	14511798	11	1167516	1172458	cccccc
1	14505227	14511798	9	1335988	1340997	cccccc
2	15570958	15577527	7	4077588	4073142	cccccc
3	8367137	8373704	9	4749129	4740317	cccccc
3	11024124	11030691	15	11665356	11651287	cccccc
7	12368565	12375131	18	5000081	5001793	cccccc
11	15925607	15932173	19	6049811	6035423	cccccc
13	1421977	1428538	14	3286977	3275705	cccccc
16	2914072	2920633	6	1440120	1443717	cccccc
3	11782190	11788750	2	7297060	7304428	cccccc
5	1973991	1980550	14	2050912	2053655	cccccc
15	8059999	8066554	17	5700655	5706409	cccccc
9	8199387	8205941	3	7206021	7196291	cccccc
11	8039294	8045846	10	5357786	5345919	cccccc
14	10462607	10469157	5	4002220	3999997	cccccc
14	10462607	10469157	7	1951501	1954208	cccccc
14	1629064	1635605	18	7691973	7650877	cccccc
1	10773586	10780120	2	10716519	10652606	cccccc
16	1715725	1722254	8	11218074	11220166	cccccc
9	5733067	5739589	6	2631858	2646916	cccccc
16	13030243	13036765	8	9700790	9707790	cccccc
3	9587133	9593654	11	794747	788146	cccccc
3	9587133	9593654	9	752329	745759	cccccc
15	12423107	12429627	17	141548	116955	cccccc
2	16237008	16243527	14	1402188	1412580	cccccc
2	16237008	16243527	7	3491922	3484936	cccccc
9	8870853	8877367	18	8601607	8604684	cccccc
9	8870853	8877367	3	3770643	3782237	cccccc
3	5198050	5204561	11	1758086	1767250	cccccc
3	5198050	5204561	9	2041710	2035377	cccccc
3	7942487	7948998	11	3243483	3236835	cccccc
3	7942487	7948998	9	4072589	4065775	cccccc
5	3635496	3642006	14	6613497	6600703	cccccc
9	4797676	4804186	6	6639198	6648495	cccccc
18	12856614	12863122	11	9867513	9879280	cccccc
4	970580	977087	10	1036096	1050065	cccccc
15	13547456	13553955	1	1597664	1589680	cccccc
2	3528083	3534579	7	1737113	1720268	cccccc
13	3068040	3074536	14	7911651	7902644	cccccc
11	16118812	16125307	19	6436387	6451603	cccccc
18	11041530	11048020	11	2932300	2940246	cccccc
1	1387279	1393768	6	2334537	2311990	cccccc
11	15965218	15971705	19	6115641	6105858	cccccc
2	3419531	3426010	7	1178629	1167451	cccccc
1	7865822	7872300	2	450391	457076	cccccc
16	14131334	14137812	8	10959702	10966349	cccccc
7	13620198	13626667	18	5694915	5711044	cccccc
13	6045425	6051892	15	2944215	2931541	cccccc
1	14626285	14632750	9	5942078	5949094	cccccc
2	2585867	2592331	7	5898474	5890512	cccccc
2	10333558	10340021	15	11522706	11578709	cccccc
2	10333558	10340021	15	11522706	11578709	cccccc
3	12548422	12554883	2	10716519	10652606	cccccc
11	15081056	15087515	19	4163962	4172072	cccccc
3	11519211	11525669	2	6448197	6442672	cccccc
7	2460125	2466578	18	10083729	10096726	cccccc
7	15014301	15020744	10	1391740	1397473	cccccc
7	15014301	15020744	12	4105274	4097838	cccccc
13	15734537	15740977	6	8529593	8538573	cccccc
11	15743183	15749616	19	5477423	5459288	cccccc
19	15371086	15377510	6	8529593	8538573	cccccc
9	3960062	3966483	6	5417476	5407677	cccccc
5	1653888	1660308	14	1324795	1316916	cccccc
1	14044219	14050636	11	794747	788146	cccccc
1	14044219	14050636	9	752329	745759	cccccc
9	11604686	11611103	13	8828337	8818196	cccccc
19	15514846	15521247	13	1445333	1430249	cccccc
19	15514846	15521247	6	8679714	8673777	cccccc
19	15514846	15521247	8	10549941	10538033	cccccc
2	5347369	5353765	18	2217945	2203450	cccccc
12	8379760	8386156	17	5178349	5186521	cccccc
3	10487399	10493793	2	5288543	5296580	cccccc
5	2671232	2677619	14	2857245	2863852	cccccc
5	2671232	2677619	5	4385231	4406308	cccccc
2	3460095	3466481	5	4894750	4898839	cccccc
2	3460095	3466481	7	1288885	1283815	cccccc
17	3570412	3576794	18	6040402	6057791	cccccc
14	11950927	11957303	12	5449824	5463695	cccccc
4	3326568	3332936	19	2771293	2777510	cccccc
5	2360	8728	14	37287	29846	cccccc
2	156398	162765	18	353213	348407	cccccc
2	7776722	7783088	18	5891131	5873361	cccccc
11	10907197	10913558	19	6593421	6587334	cccccc
1	9423722	9430082	2	4740591	4745003	cccccc
13	1498152	1504508	14	3063727	3072100	cccccc
13	1498152	1504508	5	4619268	4632977	cccccc
12	13132259	13138608	17	156638	145170	cccccc
11	13371197	13377545	19	1360912	1367018	cccccc
7	13999957	14006303	12	7284931	7271730	cccccc
2	6470987	6477332	18	3898341	3887490	cccccc
17	14088168	14094513	1	5143934	5139326	cccccc
12	12536058	12542402	17	878193	880826	cccccc
2	15696765	15703107	7	3991261	3999924	cccccc
9	4232871	4239212	13	3135518	3139380	cccccc
1	15527830	15534170	9	4297647	4302349	cccccc
2	8461980	8468320	18	6870779	6876270	cccccc
1	6906392	6912731	2	1929083	1919757	cccccc
1	1300207	1306545	6	2177741	2186359	cccccc
1	1300207	1306545	6	2047173	2042141	cccccc
2	7531872	7538209	18	5506329	5516304	cccccc
16	14002260	14008596	8	10825442	10819018	cccccc
11	14451116	14457450	19	2771293	2777510	cccccc
12	14101991	14108324	1	1597664	1589680	cccccc
1	15136317	15142644	9	4932987	4957567	cccccc
11	14623857	14630182	19	3056902	3068531	cccccc
3	8775711	8782035	9	5800021	5806257	cccccc
18	2073756	2080080	4	5116410	5107428	cccccc
18	2073756	2080080	9	7351151	7337398	cccccc
3	13272407	13278730	16	11556663	11544784	cccccc
18	6351998	6358321	4	636261	632833	cccccc
11	4546670	4552990	19	2771293	2777510	cccccc
16	5156463	5162779	8	7339743	7313197	cccccc
2	2879435	2885748	14	7430862	7435906	cccccc
2	2879435	2885748	5	6435306	6441073	cccccc
2	2879435	2885748	7	138291	144285	cccccc
3	5880822	5887133	11	1516656	1511283	cccccc
3	5880822	5887133	9	1607327	1615676	cccccc
11	14779927	14786237	19	3339458	3337836	cccccc
16	1435412	1441717	8	11263859	11257526	cccccc
18	15203966	15210270	11	4787144	4753625	cccccc
13	6834919	6841219	16	1198060	1194274	cccccc
14	8622863	8629162	7	4749886	4745380	cccccc
14	10563235	10569534	7	1798820	1804349	cccccc
12	6701777	6708072	17	5700655	5706409	cccccc
2	13227983	13234276	2	1871956	1865523	cccccc
4	6259702	6265995	4	11206907	11141817	cccccc
5	11733588	11739879	3	3658358	3664368	cccccc
2	12033603	12039893	2	2924152	2928646	cccccc
13	18297	24587	14	116202	121451	cccccc
11	7883530	7889818	10	4910220	4919535	cccccc
9	8429218	8435501	3	6754398	6718592	cccccc
1	7388789	7395069	2	1157627	1161761	cccccc
18	14962176	14968456	11	5181377	5199330	cccccc
18	14962176	14968456	4	5049153	5059447	cccccc
5	2953743	2960018	14	4240823	4248861	cccccc
5	2953743	2960018	7	2003577	2011138	cccccc
1	8216859	8223133	2	2907921	2898362	cccccc
18	12878508	12884782	11	9810685	9850178	cccccc
4	4665740	4672013	10	2776099	2782882	cccccc
4	4665740	4672013	19	1349339	1346882	cccccc
3	12186194	12192461	16	1762870	1765120	cccccc
3	13809647	13815912	2	4781701	4768239	cccccc
7	2723590	2729854	3	5120632	5115416	cccccc
12	9361721	9367984	17	6227563	6219768	cccccc
12	10947083	10953345	17	9906902	9899584	cccccc
9	5631046	5637300	6	2855114	2861878	cccccc
4	4544763	4551016	10	2596657	2584702	cccccc
3	8593572	8599823	9	4959063	4963989	cccccc
2	6367134	6373384	18	3700696	3717885	cccccc
15	3374522	3380771	17	1919645	1929815	cccccc
2	5591557	5597802	18	2567756	2543769	cccccc
13	1873208	1879453	14	4240823	4248861	cccccc
14	10910490	10916733	12	2645221	2633279	cccccc
2	7270823	7277053	18	4855137	4816010	cccccc
1	15901254	15907483	11	3243483	3236835	cccccc
1	15901254	15907483	9	4072589	4065775	cccccc
11	10742017	10748243	19	6765285	6778665	cccccc
3	16004702	16010925	2	1913702	1905770	cccccc
